1.5	100.000767636594
2	100
3	99.9956208771868
4	99.9860112046387
6	99.9443221654335
8	99.8617669898674
10	99.7259757473407
15	99.0821370449661
20	97.8967263014675
25	96.0867773235938
30	93.6300343648592
40	86.9485990531060
50	78.5386576146556
60	69.3268032961016
80	51.5924068257874
100	37.4776747551734
120	27.5798724818997
140	21.1153719046488
160	17.0580252243267
180	14.5620151476177
200	13.0353513791481
250	11.3009047891447
300	10.7137225553061
350	10.4659911126033
400	10.3362440233064
500	10.2040289006709
600	10.1383294111292
800	10.0760703180550
1000	10.0480943415755
